Year Month Day Hour Minute Second VelocityX VelocityY Level StdError1 StdError2 StdError3 SNR1 SNR2 SNR3 SignalAmp1 SignalAmp2 SignalAmp3 Noise1 Noise2 Noise3 IceDetection Heading Pitch Roll StdDevHeading StdDevPitch StdDevRoll Temperature Pressure StdDevPressure Voltage CellBegin CellEnd Speed Direction Area Flow 
2015 12 10 15 34 46    45.0     0.3   1.025   0.3   0.1   0.0  29.7  27.5   0.0 104 100   0  35  36  24   0  270.7   2.8  -2.4  0.0  0.0  0.0  23.62     1.1531    0.003  13.0   1.5 120.0   45.00    89.6      -1.0000       0.0000
2015 12 10 15 39 46    58.2     5.6   1.025   0.3   0.1   0.0  30.5  28.0   0.0 106 103   0  35  38  24   0  270.7   2.8  -2.4  0.0  0.0  0.0  23.60     1.1547    0.002  13.0   1.5 120.0   58.47    84.5      -1.0000       0.0000
2015 12 10 15 44 46    56.6     4.6   1.029   0.3   0.1   0.0  29.7  28.0   0.0 104 102   0  35  37  24   0  270.7   2.8  -2.4  0.0  0.0  0.0  23.59     1.1595    0.003  13.0   1.5 120.0   56.79    85.4      -1.0000       0.0000
2015 12 10 15 49 46    37.1     3.2   1.031   0.3   0.1   0.0  28.8  27.5   0.0 102 100   0  35  36  24   0  270.7   2.8  -2.4  0.0  0.0  0.0  23.58     1.1622    0.003  13.0   1.5 120.0   37.24    85.1      -1.0000       0.0000
2015 12 10 15 54 46    41.9     0.1   1.033   0.3   0.1   0.0  29.7  28.0   0.0 104 101   0  35  36  24   0  270.7   2.8  -2.4  0.0  0.0  0.0  23.58     1.1654    0.002  13.0   1.5 120.0   41.90    89.9      -1.0000       0.0000
2015 12 10 15 59 46    43.3     1.0   1.035   0.3   0.1   0.0  29.2  27.5   0.0 103 101   0  35  37  24   0  270.7   2.8  -2.4  0.0  0.0  0.0  23.58     1.1674    0.003  13.0   1.5 120.0   43.31    88.7      -1.0000       0.0000
2015 12 10 16 04 46    41.8    -1.2   1.035   0.3   0.1   0.0  29.7  28.0   0.0 103 100   0  34  35  24   0  270.7   2.8  -2.4  0.0  0.0  0.0  23.57     1.1682    0.002  13.0   1.5 120.0   41.82    91.6      -1.0000       0.0000
2015 12 10 16 09 46    49.9     0.9   1.039   0.3   0.1   0.0  29.7  27.5   0.0 105 101   0  36  37  24   0  270.7   2.8  -2.4  0.0  0.0  0.0  23.57     1.1709    0.003  13.0   1.5 120.0   49.91    89.0      -1.0000       0.0000
2015 12 10 16 14 46    64.8     7.6   1.042   0.3   0.1   0.0  31.8  29.7   0.0 109 103   0  35  34  24   0  270.7   2.8  -2.4  0.0  0.0  0.0  23.57     1.1729    0.002  13.0   1.5 120.0   65.24    83.3      -1.0000       0.0000
2015 12 10 16 19 46    46.1     2.4   1.043   0.3   0.1   0.0  29.7  28.0   0.0 105 101   0  36  36  24   0  270.7   2.8  -2.4  0.0  0.0  0.0  23.56     1.1745    0.002  13.0   1.5 120.0   46.16    87.0      -1.0000       0.0000
2015 12 10 16 24 46    43.1     1.2   1.047   0.2   0.1   0.0  30.5  28.4   0.0 106 102   0  35  36  24   0  270.7   2.8  -2.4  0.0  0.0  0.0  23.56     1.1769    0.003  13.0   1.5 120.0   43.12    88.4      -1.0000       0.0000
