Year Month Day Hour Minute Second VelocityX VelocityY Level StdError1 StdError2 StdError3 SNR1 SNR2 SNR3 SignalAmp1 SignalAmp2 SignalAmp3 Noise1 Noise2 Noise3 IceDetection Heading Pitch Roll StdDevHeading StdDevPitch StdDevRoll Temperature Pressure StdDevPressure Voltage CellBegin CellEnd Speed Direction Area Flow 
2019 06 11 14 11 55    12.0     3.6   1.007   0.3   0.1   0.0  36.5  28.8   0.0 117  98   0  32  31  25   0  254.9  -2.0  -2.4  0.0  0.0  0.0  16.78     0.9691    0.001  13.2   1.5 120.0   12.53    73.3      -1.0000       0.0000
2019 06 11 14 13 55    11.1     4.1   1.007   0.2   0.1   0.0  36.1  28.4   0.0 116  97   0  32  31  25   0  255.0  -2.0  -2.4  0.0  0.0  0.0  16.77     0.9687    0.002  13.2   1.5 120.0   11.83    69.7      -1.0000       0.0000
2019 06 11 14 15 55    10.1     3.0   1.006   0.2   0.1   0.0  36.1  28.4   0.0 116  97   0  32  31  25   0  255.1  -2.0  -2.4  0.0  0.0  0.0  16.78     0.9659    0.003  13.2   1.5 120.0   10.54    73.5      -1.0000       0.0000
2019 06 11 14 17 55    12.2     3.4   1.002   0.2   0.0   0.0  36.1  28.0   0.0 116  95   0  32  30  24   0  255.0  -2.0  -2.4  0.0  0.0  0.0  16.78     0.9631    0.001  13.2   1.5 120.0   12.66    74.4      -1.0000       0.0000
2019 06 11 14 19 55    11.3     3.4   0.996   0.2   0.0   0.0  36.1  28.4   0.0 117  96   0  33  30  24   0  255.1  -2.0  -2.4  0.0  0.0  0.0  16.78     0.9627    0.001  13.0   1.5 120.0   11.80    73.3      -1.0000       0.0000
2019 06 11 14 21 55    10.9     3.5   0.993   0.2   0.0   0.0  36.1  29.7   0.0 116  99   0  32  30  25   0  255.1  -2.0  -2.4  0.0  0.0  0.0  16.79     0.9615    0.002  13.0   1.5 120.0   11.45    72.2      -1.0000       0.0000
2019 06 11 14 23 55     8.8     3.0   0.992   0.2   0.0   0.0  36.5  30.5   0.0 116 101   0  31  30  24   0  255.1  -2.0  -2.4  0.0  0.0  0.0  16.79     0.9592    0.003  13.0   1.5 120.0    9.30    71.2      -1.0000       0.0000
2019 06 11 14 25 55     8.2     2.5   0.990   0.2   0.1   0.0  36.5  29.2   0.0 116  99   0  31  31  25   0  255.1  -2.0  -2.4  0.0  0.0  0.0  16.79     0.9572    0.002  13.0   1.5 120.0    8.57    73.0      -1.0000       0.0000
2019 06 11 14 27 55     7.4     2.2   0.990   0.2   0.0   0.0  36.5  29.2   0.0 116  99   0  31  31  24   0  255.1  -2.0  -2.4  0.0  0.0  0.0  16.79     0.9576    0.002  13.0   1.5 120.0    7.72    73.4      -1.0000       0.0000
2019 06 11 14 29 55     8.4     3.2   0.992   0.2   0.0   0.0  36.5  28.8   0.0 116  98   0  31  31  24   0  255.0  -2.0  -2.4  0.0  0.0  0.0  16.78     0.9580    0.002  13.0   1.5 120.0    8.99    69.1      -1.0000       0.0000
2019 06 11 14 31 55     9.9     3.4   0.995   0.3   0.1   0.0  36.5  27.5   0.0 116  95   0  31  31  25   0  255.1  -2.0  -2.4  0.0  0.0  0.0  16.77     0.9588    0.003  13.0   1.5 120.0   10.47    71.0      -1.0000       0.0000
2019 06 11 14 33 55    10.9     3.9   0.994   0.2   0.0   0.0  36.5  28.4   0.0 116  96   0  31  30  25   0  255.1  -2.0  -2.4  0.0  0.0  0.0  16.78     0.9596    0.003  13.0   1.5 120.0   11.58    70.3      -1.0000       0.0000
2019 06 11 14 35 55    10.5     3.8   0.999   0.2   0.1   0.0  37.0  28.8   0.0 117  98   0  31  31  24   0  255.2  -2.0  -2.4  0.0  0.0  0.0  16.78     0.9604    0.003  13.0   1.5 120.0   11.17    70.1      -1.0000       0.0000
2019 06 11 14 37 55     8.9     3.1   1.001   0.2   0.0   0.0  36.5  29.2   0.0 116  98   0  31  30  24   0  255.1  -2.0  -2.4  0.0  0.0  0.0  16.77     0.9608    0.003  13.0   1.5 120.0    9.42    70.8      -1.0000       0.0000
2019 06 11 14 39 55    10.6     4.4   0.998   0.2   0.0   0.0  36.1  31.4   0.0 116 104   0  32  31  24   0  255.1  -2.0  -2.4  0.0  0.0  0.0  16.76     0.9635    0.004  13.0   1.5 120.0   11.48    67.5      -1.0000       0.0000
2019 06 11 14 41 55    12.0     4.8   1.005   0.3   0.1   0.0  36.1  30.1   0.0 116 101   0  32  31  24   0  255.1  -2.0  -2.4  0.0  0.0  0.0  16.77     0.9655    0.003  13.0   1.5 120.0   12.92    68.2      -1.0000       0.0000
2019 06 11 14 43 55    10.9     4.7   1.005   0.3   0.1   0.0  36.5  31.0   0.0 117 103   0  32  31  25   0  255.1  -2.0  -2.4  0.0  0.0  0.0  16.78     0.9663    0.003  13.0   1.5 120.0   11.87    66.7      -1.0000       0.0000
2019 06 11 14 45 55     9.1     3.2   1.006   0.3   0.1   0.0  36.5  30.1   0.0 117 101   0  32  31  25   0  255.1  -2.0  -2.4  0.0  0.0  0.0  16.78     0.9683    0.002  13.0   1.5 120.0    9.65    70.6      -1.0000       0.0000
2019 06 11 14 47 55     7.7     2.6   1.005   0.3   0.1   0.0  36.5  36.1   0.0 117 114   0  32  30  25   0  255.0  -2.0  -2.4  0.0  0.0  0.0  16.78     0.9687    0.002  13.0   1.5 120.0    8.13    71.3      -1.0000       0.0000
